#{"t_start": 1783939079.113693, "env_id": "CartPole-v1"}
r,l,t
363.0,363,9.759824
449.0,449,9.835763
373.0,373,9.899482
453.0,453,9.975367
331.0,331,10.530898
500.0,500,10.619987
500.0,500,10.706049
500.0,500,10.792422
500.0,500,11.394257
196.0,196,11.428313
88.0,88,11.444174
500.0,500,11.529977
500.0,500,11.616398
356.0,356,11.678905
